,Comment,Hate,clean_comment,Tokens,Length,devanagari
11,I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,1,hate sapna yaar coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru dheere se chalao …,"['hate', 'sapna', 'yaar', 'coz', 'khud', 'ko', 'toh', 'chalana', 'aati', 'nae', 'aur', 'hum', 'agar', 'tez', 'chalaenge', 'toh', 'tokna', 'shru', 'dheere', 'se', 'chalao', '…']",22,हते सप्न यार् चोज़् खुद् को तोह् चलन आति नए और् हुम् अगर् तेज़् चलएन्गे तोह् तोक्न श्रु धीरे से चलओ …
12,"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",0,ha rem emoji hate emoji mujhe nagini ki hi yaad aati hai,"['ha', 'rem', 'emoji', 'hate', 'emoji', 'mujhe', 'nagini', 'ki', 'hi', 'yaad', 'aati', 'hai']",12,है रेम इमोजी हेट इमोजी मुझे नागिनी की ही याद आती है
13,Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,1,hate heena much irritating n bat karne ka tamiz nhi hai unmesab ko insult karna ati hai unkobas aur kuch nhi ati haibohot insecure hai wo ladki,"['hate', 'heena', 'much', 'irritating', 'n', 'bat', 'karne', 'ka', 'tamiz', 'nhi', 'hai', 'unmesab', 'ko', 'insult', 'karna', 'ati', 'hai', 'unkobas', 'aur', 'kuch', 'nhi', 'ati', 'haibohot', 'insecure', 'hai', 'wo', 'ladki']",27,हेट हीना मच इर्रिटेटिंग न बात करने का तमीज़ नहीं है उनमेसाब को इंसल्ट करना अति है उनकोबस और कुछ नहीं अति हैबोहोत इन्सेक्युरे है वो लड़की
14,Sir apki fav kon hai iss seasn mai??,0,sir apki fav kon hai iss seasn mai,"['sir', 'apki', 'fav', 'kon', 'hai', 'iss', 'seasn', 'mai']",8,सर आपकी फव कोण है इस सासन मई
15,Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,0,mehanat school copy karke likhne b lagti hai fir illegal kyu atanki ko b lagti hai fir nafrat kyu paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap,"['mehanat', 'school', 'copy', 'karke', 'likhne', 'b', 'lagti', 'hai', 'fir', 'illegal', 'kyu', 'atanki', 'ko', 'b', 'lagti', 'hai', 'fir', 'nafrat', 'kyu', 'paise', 'lekar', 'ghar', 'ki', 'aurato', 'ka', 'smman', 'bech', 'doge', 'kya', 'paise', 'aur', 'mehanat', 'ke', 'liye', 'aap']",35,मेहनत स्कूल कॉपी करके लिखने बी लगती है फिर इललीगल क्यों आतंकी को बी लगती है फिर नफरत क्यों पैसे लेकर घर की औरतो का सम्मान बेच डोज क्या पैसे और मेहनत के लिए आप
16,"Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",0,ladla wo hay jo fard jurm kay bad bhi girftar nahi hota money trail nahi deta aur saza nahi milti murder karta hay aur phansi nahi lagti,"['ladla', 'wo', 'hay', 'jo', 'fard', 'jurm', 'kay', 'bad', 'bhi', 'girftar', 'nahi', 'hota', 'money', 'trail', 'nahi', 'deta', 'aur', 'saza', 'nahi', 'milti', 'murder', 'karta', 'hay', 'aur', 'phansi', 'nahi', 'lagti']",27,लाडला वो है जो फारद जुर्म के बाद भी गिरफ्तार नहीं होता मनी ट्रेल नहीं देता और सजा नहीं मिलती मर्डर करता है और फँसी नहीं लगती
17,aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,0,aur ye barun ka comeback show tha koi q nahi dekhna chahega lekin fir b nahi dekh paye mai shivani ko q hate karu muze uski acting nahi achchi lagi jo muze laga wo maine kaha wo mera opinion hai,"['aur', 'ye', 'barun', 'ka', 'comeback', 'show', 'tha', 'koi', 'q', 'nahi', 'dekhna', 'chahega', 'lekin', 'fir', 'b', 'nahi', 'dekh', 'paye', 'mai', 'shivani', 'ko', 'q', 'hate', 'karu', 'muze', 'uski', 'acting', 'nahi', 'achchi', 'lagi', 'jo', 'muze', 'laga', 'wo', 'maine', 'kaha', 'wo', 'mera', 'opinion', 'hai']",40,और ये बरुन का कमबैक शो था कोई क्यू नहीं देखना चाहेगा लेकिन फिर बी नहीं देख पाए मई शिवानी को क्यू हेट करू मुझे उसकी एक्टिंग नहीं अच्छी लगी जो मुझे लगा वो मैंने कहा वो मेरा ओपिनियन है
18,Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharathttps://twitter.com/chintskap/status/929429458188091392 …,0,sir ji ab ye possible nahi hai bahut nafrat hai dono ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab mar gaye neharu ji bhi ab fir se ek kartay hai dono mulk ko USER,"['sir', 'ji', 'ab', 'ye', 'possible', 'nahi', 'hai', 'bahut', 'nafrat', 'hai', 'dono', 'ab', 'ek', 'hi', 'rasta', 'hai', 'sarhad', 'ke', 'lakir', 'ko', 'mita', 'kar', 'hi', 'ye', 'khatam', 'ho', 'sakta', 'hai', 'jinna', 'sahab', 'mar', 'gaye', 'neharu', 'ji', 'bhi', 'ab', 'fir', 'se', 'ek', 'kartay', 'hai', 'dono', 'mulk', 'ko', 'USER']",45,सर जी अब ये पॉसिबल नहीं है बहुत नफरत है दोनों अब एक ही रास्ता है सरहद के लकीर को मिटा कर ही ये ख़तम हो सकता है जिन्ना साहब मर गए नेहरू जी भी अब फिर से एक करते है दोनों मुल्क को यूजर
19,"Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do",1,code phatta hai toh phatne mujhe project se nafrat ho gayi hai mujhe development team se hatne,"['code', 'phatta', 'hai', 'toh', 'phatne', 'mujhe', 'project', 'se', 'nafrat', 'ho', 'gayi', 'hai', 'mujhe', 'development', 'team', 'se', 'hatne']",17,कोड फटता है तोह फटने मुझे प्रोजेक्ट से नफरत हो गयी है मुझे डेवलपमेंट टीम से हटने
20,Arsi bahar jani chahiye.... I hate arsi khan,1,arsi bahar jani chahiye hate arsi khan,"['arsi', 'bahar', 'jani', 'chahiye', 'hate', 'arsi', 'khan']",7,आरसी बहार जनि चाहिए हेट आरसी खान
21,Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,0,achha bta diya hum n show hi nhi dekha tha khbri krta kuch ni sirf maa bnta h kr hina ko hate,"['achha', 'bta', 'diya', 'hum', 'n', 'show', 'hi', 'nhi', 'dekha', 'tha', 'khbri', 'krta', 'kuch', 'ni', 'sirf', 'maa', 'bnta', 'h', 'kr', 'hina', 'ko', 'hate']",22,अच्छा बता दिया हम न शो ही नहीं देखा था खबरि करता कुछ नई सिर्फ माँ बनता ह क्र हिना को हेट
22,"Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",1,karachi say agencies panjabi pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho,"['karachi', 'say', 'agencies', 'panjabi', 'pathano', 'ko', 'qatal', 'kerkay', 'onki', 'lashain', 'gaoon', 'bhaijti', 'hain', 'takey', 'mohajiro', 'kaykhilaf', 'nafrat', 'paida', 'ho']",19,कराची से एजेंसीज पंजाबी पठानों को क़तल करके ोंकी लाशें गाऊं भेजती हैं ताके मोहाजिरों केखिलाफ नफरत पैदा हो
23,Kaahe ke Hindu bhamhanwadi se nafrat hai bus,0,kaahe ke hindu bhamhanwadi se nafrat hai bus,"['kaahe', 'ke', 'hindu', 'bhamhanwadi', 'se', 'nafrat', 'hai', 'bus']",8,काहे के हिन्दू भम्हणवादी से नफरत है बस
24,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,0,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se,"['aj', 'arshi', 'ne', 'jo', 'laat', 'eske', 'pichwade', 'mei', 'mari', 'thi', 'wo', 'photo', 'twit', 'kro', 'bhai', 'juldi', 'se']",17,आज अर्शी ने जो लात इसके पिछवाड़े में मरी थी वो फोटो ट्वीट करो भाई जल्दी से
25,Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,0,ar tag kro ki konkon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh,"['ar', 'tag', 'kro', 'ki', 'konkon', 'esh', 'hyena', 'ko', 'munh', 'mei', 'haddi', 'dalna', 'chahta', 'h', 'ya', 'laat', 'marna', 'arshi', 'ki', 'trh']",20,ार टैग करो की कोनकों ेश हायना को मुंह में हड्डी डालना चाहता ह या लात मरना अर्शी की तरह
26,Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,0,gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,"['gf', 'khoon', 'peene', 'k', 'liye', 'hoti', 'hai', 'aur', 'apne', 'babu', 'ko', 'thana', 'thilane', 'k', 'liye', 'bas']",16,गफ खून पीने क लिए होती है और अपने बाबू को थाना थिलने क लिए बस
27,Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,1,haa bhai ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai lets screw haters USER,"['haa', 'bhai', 'ye', 'chutiye', 'log', 'ki', 'hatred', 'apni', 'liye', 'milan', 'ki', 'bela', 'ban', 'k', 'aayi', 'hai', 'lets', 'screw', 'haters', 'USER']",20,हां भाई ये चूतिये लोग की हैट्रेड अपनी लिए मिलान की बेला बन क आयी है लेटस स्क्रू हटर्स यूजर
28,Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,0,abe bigg boss show baki contestants bhi hai un se related news deta nhisirf sari updates hina se related deta haiwo bhi hate walikhabari hai bakri chabar chabar karta rehta hina k bare,"['abe', 'bigg', 'boss', 'show', 'baki', 'contestants', 'bhi', 'hai', 'un', 'se', 'related', 'news', 'deta', 'nhisirf', 'sari', 'updates', 'hina', 'se', 'related', 'deta', 'haiwo', 'bhi', 'hate', 'walikhabari', 'hai', 'bakri', 'chabar', 'chabar', 'karta', 'rehta', 'hina', 'k', 'bare']",33,अबे बिग्ग बॉस शो बाकि कंटेस्टेंट्स भी है उन से रिलेटेड न्यूज़ देता न्हिसिर्फ साडी उपदटेस हिना से रिलेटेड देता हैवो भी हेट वलिखबारी है बकरी चबर चबर करता रहता हिना क बारे
29,Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: http://youtu.be/9Kh_U6kZmqM?a  via @YouTube,0,stone miracle hazrat imam hussain ra wo pathar jis se abhi tak khoon behta hai via USER,"['stone', 'miracle', 'hazrat', 'imam', 'hussain', 'ra', 'wo', 'pathar', 'jis', 'se', 'abhi', 'tak', 'khoon', 'behta', 'hai', 'via', 'USER']",17,स्टोन मिरेकल हज़रात इमाम हुसैन रा वो पत्थर जिस से अभी तक खून बेहटा है वाया यूजर
30,Pappu ka ye saja phansi se kam nahi,0,pappu ka ye saja phansi se kam nahi,"['pappu', 'ka', 'ye', 'saja', 'phansi', 'se', 'kam', 'nahi']",8,पप्पू का ये सजा फँसी से काम नहीं
31,Sir phansi nahi. .. sirf looted money wapas chaiya,0,sir phansi nahi sirf looted money wapas chaiya,"['sir', 'phansi', 'nahi', 'sirf', 'looted', 'money', 'wapas', 'chaiya']",8,सर फँसी नहीं सिर्फ लूटेड मनी वापस चैया
32,"Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",1,bhai ye log honour killing mein vishwas rakhne walo se hain khud dusri ki beheno ko din raat chedege kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain,"['bhai', 'ye', 'log', 'honour', 'killing', 'mein', 'vishwas', 'rakhne', 'walo', 'se', 'hain', 'khud', 'dusri', 'ki', 'beheno', 'ko', 'din', 'raat', 'chedege', 'kisine', 'inki', 'behen', 'pe', 'tippani', 'bhi', 'kardi', 'toh', 'murder', 'vegere', 'ki', 'dhamki', 'dete', 'hain']",33,भाई ये लोग ऑनर किलिंग में विश्वास रखने वालो से हैं खुद दूसरी की बहेनो को दिन रात छेड़ेगे किसीने इनकी बेहेन पे टिपण्णी भी करदी तोह मर्डर वगेरे की धमकी देते हैं
33,Aap log kabhi America ki dalali karto kabhi nafrat,0,aap log kabhi america ki dalali karto kabhi nafrat,"['aap', 'log', 'kabhi', 'america', 'ki', 'dalali', 'karto', 'kabhi', 'nafrat']",9,आप लोग कभी अमेरिका की दलाली करते कभी नफरत
34,Agar isse love kehte toh hum jo karte usse kya hate?  @ChawalaRiya @Yashika12_K9https://twitter.com/DrrrSanket/status/928631679995879424 …,0,agar isse love kehte toh hum jo karte usse kya hate USER,"['agar', 'isse', 'love', 'kehte', 'toh', 'hum', 'jo', 'karte', 'usse', 'kya', 'hate', 'USER']",12,अगर इससे लव कहते तोह हम जो करते उससे क्या हेट यूजर
35,bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,0,bc pehli baar kisne hail hitler kaha hai nahi toh adolfhitler ko sab sadakchaap wala gaaliyan dete hai,"['bc', 'pehli', 'baar', 'kisne', 'hail', 'hitler', 'kaha', 'hai', 'nahi', 'toh', 'adolfhitler', 'ko', 'sab', 'sadakchaap', 'wala', 'gaaliyan', 'dete', 'hai']",18,बस पहली बार किसने हाईल हिटलर कहा है नहीं तोह अडोलफितलेर को सब सड़कछाप वाला गालियां देते है
36,#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,1,narendra modi u r hopeless pm apne garib ko maar daala hate u sirf aap bol bacchan dete ho karte kuch bhi nhi u r fake person,"['narendra', 'modi', 'u', 'r', 'hopeless', 'pm', 'apne', 'garib', 'ko', 'maar', 'daala', 'hate', 'u', 'sirf', 'aap', 'bol', 'bacchan', 'dete', 'ho', 'karte', 'kuch', 'bhi', 'nhi', 'u', 'r', 'fake', 'person']",27,नरेंद्र मोदी ु र होपलेस पं अपने गरीब को मार डाला हेट ु सिर्फ आप बोल बच्चन देते हो करते कुछ भी नहीं ु र फेक पर्सन
37,Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,0,provinces banana achi baat hay magar pakistani bun jana fakhar ki baat hui na baat baat p nafrat achi nahi,"['provinces', 'banana', 'achi', 'baat', 'hay', 'magar', 'pakistani', 'bun', 'jana', 'fakhar', 'ki', 'baat', 'hui', 'na', 'baat', 'baat', 'p', 'nafrat', 'achi', 'nahi']",20,प्रॉविन्सेस बनाना अछि बात है मगर पाकिस्तानी बन जाना फखर की बात हुई न बात बात प नफरत अछि नहीं
38,Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,0,acha tou un per quota system laga ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say unki industry nationalise hoi unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,"['acha', 'tou', 'un', 'per', 'quota', 'system', 'laga', 'ya', 'unko', 'punjab', 'say', 'baher', 'nikala', 'jaisay', 'mohajiron', 'ko', 'nikala', 'intr', 'sindh', 'say', 'unki', 'industry', 'nationalise', 'hoi', 'unko', 'punjabion', 'nay', 'nafrat', 'say', 'pukra', 'jaisay', 'sindhi', 'pukarty', 'thy', 'punjab', 'ny', 'unko', 'qabool', 'kia', 'lakin', 'sindhi', 'ny', 'hum', 'ko', 'nahi', 'qabol', 'kia']",47,ाचा तो उन पैर कोटा सिस्टम लगा या उनको पंजाब से बाहेर निकला जैसे मोहाजिरों को निकला इंटर सिंध से उनकी इंडस्ट्री नॅशनलिसे होइ उनको पुंजबियन ने नफरत से पुकरा जैसे सिंधी पुकारती थय पंजाब न्य उनको क़बूल किआ लकिन सिंधी न्य हम को नहीं क़बूल किआ
39,Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,0,bhutto sb juke nahi phansi char gayeniazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo gande message bi chorne pare ge,"['bhutto', 'sb', 'juke', 'nahi', 'phansi', 'char', 'gayeniazi', 'se', 'kaho', 'mafi', 'nama', 'wapis', 'le', 'kar', 'phansi', 'char', 'jaye', 'phir', 'maanoo', 'gande', 'message', 'bi', 'chorne', 'pare', 'ge']",25,भुट्टो सब जूक नहीं फँसी चार गएनिकज़ई से कहो माफ़ी नामा वापिस ले कर फँसी चार जाये फिर मानू गंदे मैसेज बी चोर्ने परे गए
